Card Network,Card Holder,Card Number,Expire,CVC/CVV/CID,SSN
JCB,Shawn Green,3.58551E+15,22-Jul,572,172-32-1176
VISA,Benjamin Lopez,4.23289E+15,28-Jul,981,514-14-8905
Discover,Paula Foster,6.01181E+15,22-Dec,142,213-46-8915
VISA,Samuel Carlson,4.01538E+12,22-May,95,524-02-7657
VISA,Daniel Martinez,4.87764E+15,31-May,590,489-36-8350
JCB,Gregory Miller,3.53055E+15,30-May,558,514-30-2668
Mastercard,Matthew Rodriguez,2.28559E+15,25-Jul,385,505-88-5714
VISA,Roger Wells,4.88198E+15,28-May,293,690-05-5315
Maestro,Hannah Hahn,5.01893E+11,23-Dec,33,646-44-9061
JCB,Bridget Hernandez,3.59388E+15,28-Feb,706,421-37-1396
VISA,Regina Mccoy,4.12023E+12,28-Oct,397,461-97-5660
VISA,Jessica Butler,4.74938E+18,28-Sep,28,660-03-8360
JCB,Deborah Smith,3.50952E+15,30-Nov,228,751-01-2327
JCB,Kyle Weiss,2.13126E+14,27-Jan,853,559-81-1301
JCB,Ashley Guzman,1.8008E+14,Jan-32,302,624-84-9181
JCB,Lauren Clarke,3.58529E+15,28-Mar,74,449-48-3135
Mastercard,Thomas Taylor,2.22361E+15,25-Apr,864,477-36-0282
American Express,Heather Snyder,3.43141E+14,22-May,7740,458-02-6124
Discover,Michael Montoya,6.01115E+15,31-Oct,431,044-34-6954
Maestro,Christine Ross,5.74969E+11,27-Aug,58,587-03-2682
VISA,Mary Phelps,4.93982E+15,25-Feb,485,421-90-3440
VISA,Kyle Martin,4.6214E+18,24-Jul,333,451-80-3526
VISA,Crystal Hughes,4.62532E+15,Jan-32,610,300-62-3266
JCB,Adam Lynch,2.13167E+14,27-Oct,740,322-84-2281
Discover,Kevin Riley,6.50031E+15,27-May,921,465-73-5022
JCB,Samantha Lee,2.1316E+14,27-May,969,612-20-6832
JCB,Brian Bray,1.80035E+14,27-Mar,786,687-05-8365
VISA,Charles Ball,4.70394E+15,30-Jan,630,205-52-0027
JCB,Lance Campbell,2.13147E+14,25-Oct,164,404-12-2154
VISA,Kevin Moore,4.64459E+12,22-Nov,74,151-32-2558
,,,,,
,,,,,
,,,,,
